cluster,dominant_share,k,feature
2,0.4517,3,hour_band
3,0.3892,3,hour_band
1,0.3124,3,hour_band
2,0.2056,3,weekday
3,0.1948,3,weekday
1,0.1674,3,weekday
2,0.881,3,weekend
3,0.8678,3,weekend
1,0.765,3,weekend
2,0.3512,3,season
3,0.3198,3,season
1,0.4081,3,season
2,0.7871,3,rush_hour
3,0.7069,3,rush_hour
1,0.8772,3,rush_hour
2,0.9619,3,Sunrise_Sunset
3,0.9101,3,Sunrise_Sunset
1,0.7473,3,Sunrise_Sunset
2,0.8076,3,weather_group
3,0.9941,3,weather_group
1,0.5693,3,weather_group
2,0.888,3,Crossing
3,0.9066,3,Crossing
1,0.9044,3,Crossing
2,0.8454,3,Junction
3,0.8428,3,Junction
1,0.8284,3,Junction
2,0.8946,3,Traffic_Signal
3,0.9127,3,Traffic_Signal
1,0.9087,3,Traffic_Signal
2,0.9877,3,Stop
3,0.9903,3,Stop
1,0.9916,3,Stop
3,0.4603,4,hour_band
1,0.4364,4,hour_band
4,0.3937,4,hour_band
2,0.5688,4,hour_band
3,0.2272,4,weekday
1,0.2167,4,weekday
4,0.2078,4,weekday
2,0.3829,4,weekday
3,0.9767,4,weekend
1,0.9339,4,weekend
4,0.8549,4,weekend
2,0.7069,4,weekend
3,0.2929,4,season
1,0.3543,4,season
4,0.3263,4,season
2,0.4233,4,season
3,0.7952,4,rush_hour
1,0.7791,4,rush_hour
4,0.8934,4,rush_hour
2,0.8054,4,rush_hour
3,0.8887,4,Sunrise_Sunset
1,0.9557,4,Sunrise_Sunset
4,0.8961,4,Sunrise_Sunset
2,0.7915,4,Sunrise_Sunset
3,0.845,4,weather_group
1,0.9014,4,weather_group
4,0.5211,4,weather_group
2,0.7894,4,weather_group
3,0.8839,4,Crossing
1,0.9052,4,Crossing
4,0.898,4,Crossing
2,0.9238,4,Crossing
3,0.8387,4,Junction
1,0.8455,4,Junction
4,0.8356,4,Junction
2,0.8366,4,Junction
3,0.8874,4,Traffic_Signal
1,0.9108,4,Traffic_Signal
4,0.9091,4,Traffic_Signal
2,0.9292,4,Traffic_Signal
3,0.9872,4,Stop
1,0.9896,4,Stop
4,0.9926,4,Stop
2,0.9919,4,Stop
1,0.5469,5,hour_band
4,0.4501,5,hour_band
5,0.6665,5,hour_band
2,0.3877,5,hour_band
3,0.5114,5,hour_band
1,0.206,5,weekday
4,0.2081,5,weekday
5,0.1922,5,weekday
2,0.3475,5,weekday
3,0.2383,5,weekday
1,0.9082,5,weekend
4,0.9264,5,weekend
5,0.9057,5,weekend
2,0.6271,5,weekend
3,0.9252,5,weekend
1,0.2954,5,season
4,0.3579,5,season
5,0.2732,5,season
2,0.2963,5,season
3,0.3064,5,season
1,1,5,rush_hour
4,0.8278,5,rush_hour
5,1,5,rush_hour
2,0.9417,5,rush_hour
3,0.7806,5,rush_hour
1,0.8782,5,Sunrise_Sunset
4,0.9048,5,Sunrise_Sunset
5,0.7162,5,Sunrise_Sunset
2,0.8192,5,Sunrise_Sunset
3,0.7708,5,Sunrise_Sunset
1,0.9928,5,weather_group
4,0.9854,5,weather_group
5,0.7648,5,weather_group
2,0.694,5,weather_group
3,0.7536,5,weather_group
1,0.8913,5,Crossing
4,0.905,5,Crossing
5,0.8839,5,Crossing
2,0.9213,5,Crossing
3,0.9073,5,Crossing
1,0.838,5,Junction
4,0.8428,5,Junction
5,0.8444,5,Junction
2,0.831,5,Junction
3,0.8371,5,Junction
1,0.8955,5,Traffic_Signal
4,0.9102,5,Traffic_Signal
5,0.8924,5,Traffic_Signal
2,0.9296,5,Traffic_Signal
3,0.9084,5,Traffic_Signal
1,0.9867,5,Stop
4,0.9904,5,Stop
5,0.9907,5,Stop
2,0.9924,5,Stop
3,0.9895,5,Stop
5,0.6409,6,hour_band
3,0.6303,6,hour_band
6,0.5687,6,hour_band
4,0.4365,6,hour_band
2,0.9077,6,hour_band
1,0.5151,6,hour_band
5,0.2306,6,weekday
3,0.2191,6,weekday
6,0.1727,6,weekday
4,0.5511,6,weekday
2,0.1974,6,weekday
1,0.2142,6,weekday
5,0.9938,6,weekend
3,0.9746,6,weekend
6,0.7574,6,weekend
4,1,6,weekend
2,0.8927,6,weekend
1,1,6,weekend
5,0.642,6,season
3,0.3442,6,season
6,0.3702,6,season
4,0.3172,6,season
2,0.3618,6,season
1,0.4647,6,season
5,0.8384,6,rush_hour
3,1,6,rush_hour
6,0.9329,6,rush_hour
4,0.5609,6,rush_hour
2,1,6,rush_hour
1,0.8568,6,rush_hour
5,0.8125,6,Sunrise_Sunset
3,0.9066,6,Sunrise_Sunset
6,0.995,6,Sunrise_Sunset
4,0.7814,6,Sunrise_Sunset
2,0.9603,6,Sunrise_Sunset
1,0.8734,6,Sunrise_Sunset
5,0.7907,6,weather_group
3,0.9108,6,weather_group
6,0.4758,6,weather_group
4,0.6972,6,weather_group
2,0.5208,6,weather_group
1,0.9159,6,weather_group
5,0.8794,6,Crossing
3,0.9056,6,Crossing
6,0.9029,6,Crossing
4,0.9481,6,Crossing
2,0.8866,6,Crossing
1,0.8907,6,Crossing
5,0.8267,6,Junction
3,0.8407,6,Junction
6,0.8297,6,Junction
4,0.8246,6,Junction
2,0.8555,6,Junction
1,0.8492,6,Junction
5,0.8807,6,Traffic_Signal
3,0.9087,6,Traffic_Signal
6,0.9127,6,Traffic_Signal
4,0.949,6,Traffic_Signal
2,0.8989,6,Traffic_Signal
1,0.896,6,Traffic_Signal
5,0.9848,6,Stop
3,0.9906,6,Stop
6,0.9921,6,Stop
4,0.9954,6,Stop
2,0.9885,6,Stop
1,0.9888,6,Stop
2,0.6531,7,hour_band
7,0.4762,7,hour_band
4,0.9252,7,hour_band
5,0.373,7,hour_band
3,0.7226,7,hour_band
6,0.6508,7,hour_band
1,0.4706,7,hour_band
2,0.2088,7,weekday
7,0.2088,7,weekday
4,0.2244,7,weekday
5,0.1775,7,weekday
3,0.2806,7,weekday
6,0.283,7,weekday
1,0.4987,7,weekday
2,0.9172,7,weekend
7,0.9207,7,weekend
4,0.9893,7,weekend
5,0.8346,7,weekend
3,0.9714,7,weekend
6,1,7,weekend
1,0.9139,7,weekend
2,0.3723,7,season
7,0.3247,7,season
4,0.3796,7,season
5,0.3787,7,season
3,0.6356,7,season
6,0.4136,7,season
1,0.3035,7,season
2,1,7,rush_hour
7,0.8036,7,rush_hour
4,1,7,rush_hour
5,0.8346,7,rush_hour
3,0.8995,7,rush_hour
6,0.8949,7,rush_hour
1,0.7608,7,rush_hour
2,0.9421,7,Sunrise_Sunset
7,0.8582,7,Sunrise_Sunset
4,0.9996,7,Sunrise_Sunset
5,1,7,Sunrise_Sunset
3,0.8457,7,Sunrise_Sunset
6,0.8996,7,Sunrise_Sunset
1,0.733,7,Sunrise_Sunset
2,0.8818,7,weather_group
7,0.5975,7,weather_group
4,0.6378,7,weather_group
5,0.608,7,weather_group
3,0.8698,7,weather_group
6,0.797,7,weather_group
1,0.6302,7,weather_group
2,0.8793,7,Crossing
7,0.9903,7,Crossing
4,0.8644,7,Crossing
5,0.9047,7,Crossing
3,0.8839,7,Crossing
6,0.8984,7,Crossing
1,0.9325,7,Crossing
2,0.9129,7,Junction
