eps,minPts,non_noise_clusters,noise_pct,max_cluster_size,max_cluster_share_pct,size_balance_ok,acceptable
0.3,40,78,20.23,6071,18.27,TRUE,FALSE
0.4,40,58,16.87,8342,25.11,TRUE,FALSE
0.5,40,50,14.46,12716,38.27,TRUE,FALSE
0.6,40,47,11.92,14024,42.21,TRUE,FALSE
0.7,40,45,10.37,14250,42.89,TRUE,FALSE
0.8,40,36,9.25,14893,44.82,TRUE,FALSE
0.9,40,29,7.71,26816,80.7,FALSE,FALSE
1,40,22,6.87,28893,86.95,FALSE,FALSE
1.1,40,17,6.12,29591,89.05,FALSE,FALSE
1.2,40,16,5.41,29988,90.25,FALSE,FALSE
1.3,40,15,4.6,30369,91.4,FALSE,FALSE
1.4,40,14,3.9,30609,92.12,FALSE,FALSE
1.5,40,10,3.59,31147,93.74,FALSE,FALSE
1.6,40,10,3.11,31540,94.92,FALSE,FALSE
1.7,40,10,2.77,31620,95.16,FALSE,FALSE
1.8,40,13,2.26,31696,95.39,FALSE,FALSE
1.9,40,13,2.01,31754,95.56,FALSE,FALSE
2,40,10,1.61,31895,95.99,FALSE,FALSE
0.3,50,74,23.42,5545,16.69,TRUE,FALSE
0.4,50,59,19.03,8326,25.06,TRUE,FALSE
0.5,50,40,16.87,9539,28.71,TRUE,FALSE
0.6,50,35,14.91,13629,41.02,TRUE,FALSE
0.7,50,30,13.43,14190,42.7,TRUE,FALSE
0.8,50,30,11.11,14843,44.67,TRUE,FALSE
0.9,50,23,9.81,15128,45.53,TRUE,FALSE
1,50,20,8.28,27140,81.68,FALSE,FALSE
1.1,50,20,7,28997,87.27,FALSE,FALSE
1.2,50,16,6.21,29573,89,FALSE,FALSE
1.3,50,13,5.51,30060,90.47,FALSE,FALSE
1.4,50,11,5.04,30387,91.45,FALSE,FALSE
1.5,50,8,4.34,30880,92.93,FALSE,FALSE
1.6,50,9,3.89,30979,93.23,FALSE,FALSE
1.7,50,8,3.38,31408,94.52,FALSE,FALSE
1.8,50,8,3.02,31640,95.22,FALSE,FALSE
1.9,50,8,2.68,31714,95.44,FALSE,FALSE
2,50,8,2.41,31768,95.61,FALSE,FALSE
0.3,75,68,29.48,3145,9.46,TRUE,FALSE
0.4,75,45,24.85,7328,22.05,TRUE,FALSE
0.5,75,39,20.92,7932,23.87,TRUE,FALSE
0.6,75,25,19.42,8527,25.66,TRUE,FALSE
0.7,75,23,16.81,13738,41.34,TRUE,FALSE
0.8,75,20,15.37,14369,43.24,TRUE,FALSE
0.9,75,15,14.31,14621,44,TRUE,TRUE
1,75,13,13.07,14945,44.98,TRUE,TRUE
1.1,75,13,11.51,26621,80.12,FALSE,FALSE
1.2,75,11,9.47,27502,82.77,FALSE,FALSE
1.3,75,11,8.24,29439,88.6,FALSE,FALSE
1.4,75,10,7.03,29877,89.92,FALSE,FALSE
1.5,75,8,6.47,30161,90.77,FALSE,FALSE
1.6,75,6,5.9,30606,92.11,FALSE,FALSE
1.7,75,4,5.3,30906,93.01,FALSE,FALSE
1.8,75,4,4.85,31038,93.41,FALSE,FALSE
1.9,75,4,4.52,31164,93.79,FALSE,FALSE
2,75,4,4.06,31515,94.84,FALSE,FALSE
0.3,100,63,34.61,2289,6.89,TRUE,FALSE
0.4,100,49,28.11,3532,10.63,TRUE,FALSE
0.5,100,38,24.4,7372,22.19,TRUE,FALSE
0.6,100,30,22.1,8299,24.98,TRUE,FALSE
0.7,100,24,19.8,9458,28.46,TRUE,FALSE
0.8,100,19,17.78,10395,31.28,TRUE,FALSE
0.9,100,14,16.65,14188,42.7,TRUE,TRUE
1,100,12,15.28,14663,44.13,TRUE,TRUE
1.1,100,8,13.72,26503,79.76,FALSE,FALSE
1.2,100,6,12.58,26990,81.23,FALSE,FALSE
1.3,100,5,11.82,27386,82.42,FALSE,FALSE
1.4,100,5,10.31,27797,83.66,FALSE,FALSE
1.5,100,5,9.11,29689,89.35,FALSE,FALSE
1.6,100,6,7.78,29950,90.13,FALSE,FALSE
1.7,100,7,6.51,30397,91.48,FALSE,FALSE
1.8,100,5,6.15,30579,92.03,FALSE,FALSE
1.9,100,4,5.28,30916,93.04,FALSE,FALSE
2,100,4,5.03,31003,93.3,FALSE,FALSE
