feature,importance,feature_clean,rank
rush_hour,0.329986449194812,rush_hour,1
hour_band,0.151395778519752,hour_band,2
Sunrise_Sunset,0.104237741282116,Sunrise_Sunset,3
Visibility.mi.,0.0976288652789773,Visibility.mi.,4
weather_group,0.0446471256940861,weather_group,5
Humidity...,0.0213492185531646,Humidity...,6
Temperature.F.,0.0111028407320063,Temperature.F.,7
season,0.00404557891680076,season,8
Wind_Speed.mph.,0.00250587256110688,Wind_Speed.mph.,9
Pressure.in.,0.00231221242726803,Pressure.in.,10
weekday,0.00125660119736227,weekday,11
log_Duration,0.000798767622631795,log_Duration,12
weekend,0.000561361039833613,weekend,13
Traffic_Signal,0.000103370497141944,Traffic_Signal,14
Crossing,7.89241504263993e-05,Crossing,15
Junction,5.22342107047269e-05,Junction,16
Stop,-1.27328208024924e-06,Stop,17
