Weather_Condition,N
Fair,10224
Mostly Cloudy,5724
Cloudy,4310
Partly Cloudy,3217
Clear,2288
Light Rain,1930
Overcast,1718
Scattered Clouds,691
Fog,577
Rain,447
Light Snow,358
Fair / Windy,288
Mostly Cloudy / Windy,217
Heavy Rain,196
Cloudy / Windy,169
Light Drizzle,150
Partly Cloudy / Windy,147
Light Rain / Windy,118
Thunder in the Vicinity,64
Wintry Mix,64
T-Storm,51
Light Rain with Thunder,50
Rain / Windy,50
Heavy T-Storm,41
Snow,37
Haze,36
Thunder,31
Fog / Windy,28
Light Snow / Windy,18
Drizzle and Fog,16
Light Freezing Rain,15
Mist,9
"",8
Heavy Snow,8
Heavy Rain / Windy,7
Heavy T-Storm / Windy,6
Light Freezing Fog,5
Light Thunderstorms and Rain,5
Freezing Rain,4
Light Ice Pellets,4
N/A Precipitation,4
Patches of Fog / Windy,4
Snow and Sleet / Windy,4
T-Storm / Windy,4
Thunder / Windy,4
Heavy Snow / Windy,3
Heavy Thunderstorms and Rain,3
Light Freezing Drizzle,3
Light Sleet,3
Snow / Windy,3
Haze / Windy,2
Light Drizzle / Windy,2
Shallow Fog,2
Snow and Sleet,2
Drizzle,1
Heavy Drizzle,1
Ice Pellets,1
Light Snow and Sleet,1
Thunderstorm,1
Thunderstorms and Rain,1
