cluster,dominant_share,k,feature
2,0.4508,3,hour_band
1,0.3884,3,hour_band
3,0.3124,3,hour_band
2,0.2053,3,weekday
1,0.1945,3,weekday
3,0.1677,3,weekday
2,0.8807,3,weekend
1,0.8676,3,weekend
3,0.7646,3,weekend
2,0.3518,3,season
1,0.32,3,season
3,0.4083,3,season
2,0.7864,3,rush_hour
1,0.7063,3,rush_hour
3,0.8768,3,rush_hour
2,0.9613,3,Sunrise_Sunset
1,0.9103,3,Sunrise_Sunset
3,0.748,3,Sunrise_Sunset
2,0.8084,3,weather_group
1,0.9941,3,weather_group
3,0.5696,3,weather_group
2,0.8887,3,Crossing
1,0.9068,3,Crossing
3,0.9046,3,Crossing
2,0.846,3,Junction
1,0.8428,3,Junction
3,0.829,3,Junction
2,0.895,3,Traffic_Signal
1,0.9129,3,Traffic_Signal
3,0.9088,3,Traffic_Signal
2,0.9877,3,Stop
1,0.9903,3,Stop
3,0.9916,3,Stop
2,0.5699,4,hour_band
1,0.385,4,hour_band
3,0.3057,4,hour_band
4,0.5168,4,hour_band
2,0.2416,4,weekday
1,0.2046,4,weekday
3,0.1993,4,weekday
4,0.3945,4,weekday
2,0.9917,4,weekend
1,0.9305,4,weekend
3,0.9231,4,weekend
4,0.7448,4,weekend
2,0.3099,4,season
1,0.3197,4,season
3,0.5112,4,season
4,0.3869,4,season
2,0.898,4,rush_hour
1,0.7398,4,rush_hour
3,0.8534,4,rush_hour
4,0.8004,4,rush_hour
2,0.9444,4,Sunrise_Sunset
1,0.9038,4,Sunrise_Sunset
3,0.7589,4,Sunrise_Sunset
4,0.7474,4,Sunrise_Sunset
2,0.8319,4,weather_group
1,0.9376,4,weather_group
3,0.5739,4,weather_group
4,0.6602,4,weather_group
2,0.8788,4,Crossing
1,0.906,4,Crossing
3,0.9,4,Crossing
4,0.9233,4,Crossing
2,0.8475,4,Junction
1,0.8438,4,Junction
3,0.8274,4,Junction
4,0.8365,4,Junction
2,0.8844,4,Traffic_Signal
1,0.9115,4,Traffic_Signal
3,0.9055,4,Traffic_Signal
4,0.9296,4,Traffic_Signal
2,0.9858,4,Stop
1,0.9904,4,Stop
3,0.9918,4,Stop
4,0.9926,4,Stop
1,0.5763,5,hour_band
3,0.3869,5,hour_band
2,0.6018,5,hour_band
4,0.295,5,hour_band
5,0.3536,5,hour_band
1,0.2244,5,weekday
3,0.206,5,weekday
2,0.3819,5,weekday
4,0.2895,5,weekday
5,0.4028,5,weekday
1,0.9884,5,weekend
3,0.9395,5,weekend
2,0.7052,5,weekend
4,1,5,weekend
5,0.7439,5,weekend
1,0.335,5,season
3,0.322,5,season
2,0.3404,5,season
4,0.4191,5,season
5,0.4028,5,season
1,0.8903,5,rush_hour
3,0.7451,5,rush_hour
2,0.7345,5,rush_hour
4,0.8511,5,rush_hour
5,0.9219,5,rush_hour
1,0.9484,5,Sunrise_Sunset
3,0.916,5,Sunrise_Sunset
2,0.889,5,Sunrise_Sunset
4,0.711,5,Sunrise_Sunset
5,0.9094,5,Sunrise_Sunset
1,0.8445,5,weather_group
3,0.9303,5,weather_group
2,0.7571,5,weather_group
4,0.6339,5,weather_group
5,0.6856,5,weather_group
1,0.8793,5,Crossing
3,0.9055,5,Crossing
2,0.9251,5,Crossing
4,0.897,5,Crossing
5,0.9185,5,Crossing
1,0.8456,5,Junction
3,0.8435,5,Junction
2,0.831,5,Junction
4,0.8318,5,Junction
5,0.84,5,Junction
1,0.8851,5,Traffic_Signal
