cluster,dominant_share,k,feature
1,0.9068,3,Crossing
1,0.9903,3,Stop
1,0.9103,3,Sunrise_Sunset
1,0.9129,3,Traffic_Signal
1,0.9941,3,weather_group
2,0.9877,3,Stop
2,0.9613,3,Sunrise_Sunset
3,0.9046,3,Crossing
3,0.9916,3,Stop
3,0.9088,3,Traffic_Signal
1,0.906,4,Crossing
1,0.9904,4,Stop
1,0.9038,4,Sunrise_Sunset
1,0.9115,4,Traffic_Signal
1,0.9376,4,weather_group
1,0.9305,4,weekend
2,0.9858,4,Stop
2,0.9444,4,Sunrise_Sunset
2,0.9917,4,weekend
3,0.9,4,Crossing
3,0.9918,4,Stop
3,0.9055,4,Traffic_Signal
3,0.9231,4,weekend
4,0.9233,4,Crossing
4,0.9926,4,Stop
4,0.9296,4,Traffic_Signal
1,0.9855,5,Stop
1,0.9484,5,Sunrise_Sunset
1,0.9884,5,weekend
2,0.9251,5,Crossing
2,0.9925,5,Stop
2,0.9277,5,Traffic_Signal
3,0.9055,5,Crossing
3,0.9902,5,Stop
3,0.916,5,Sunrise_Sunset
3,0.9106,5,Traffic_Signal
3,0.9303,5,weather_group
3,0.9395,5,weekend
4,0.9917,5,Stop
4,0.9026,5,Traffic_Signal
4,1,5,weekend
5,0.9185,5,Crossing
5,0.9948,5,Stop
5,0.9094,5,Sunrise_Sunset
5,0.9314,5,Traffic_Signal
5,0.9219,5,rush_hour
1,0.9059,6,Crossing
1,0.991,6,Stop
1,0.9376,6,Sunrise_Sunset
1,0.9062,6,Traffic_Signal
1,1,6,rush_hour
1,0.9901,6,weather_group
1,0.9792,6,weekend
2,0.9852,6,Stop
2,0.9684,6,Sunrise_Sunset
2,0.9557,6,rush_hour
2,1,6,weekend
3,0.9153,6,Crossing
3,0.9926,6,Stop
3,0.9213,6,Traffic_Signal
3,0.9734,6,weekend
4,0.9086,6,Crossing
4,0.9928,6,Stop
4,0.9318,6,Sunrise_Sunset
4,0.9158,6,Traffic_Signal
4,0.9761,6,rush_hour
5,0.9887,6,Stop
5,0.9001,6,Traffic_Signal
5,1,6,rush_hour
5,0.9248,6,weekend
6,0.9477,6,Crossing
6,0.9965,6,Stop
6,0.9641,6,Sunrise_Sunset
6,0.95,6,Traffic_Signal
6,0.9231,6,weekend
1,0.9278,7,Crossing
1,0.9915,7,Stop
1,0.9989,7,Sunrise_Sunset
1,0.9363,7,Traffic_Signal
1,0.9482,7,rush_hour
1,0.944,7,weekend
2,0.9752,7,Crossing
2,0.9906,7,Stop
2,0.9723,7,Sunrise_Sunset
2,0.9782,7,Traffic_Signal
2,0.9364,7,rush_hour
2,0.92,7,weekend
3,0.9303,7,Crossing
3,0.99,7,Stop
3,0.9994,7,Sunrise_Sunset
3,0.9423,7,Traffic_Signal
3,0.9337,7,hour_band
3,1,7,rush_hour
4,0.9635,7,Crossing
4,0.9913,7,Stop
4,0.9646,7,Sunrise_Sunset
4,0.9635,7,Traffic_Signal
4,1,7,rush_hour
4,0.9913,7,weather_group
5,0.9004,7,Crossing
5,0.9823,7,Junction
5,0.9641,7,Stop
5,0.9574,7,weekend
6,0.9486,7,Crossing
6,0.9932,7,Stop
6,0.9568,7,Traffic_Signal
6,0.9418,7,weekend
7,0.9377,7,Crossing
7,0.9944,7,Stop
7,0.9447,7,Traffic_Signal
1,0.9059,8,Crossing
1,0.9888,8,Junction
1,0.963,8,Stop
1,0.9546,8,weekend
2,0.9509,8,Crossing
2,0.993,8,Stop
2,0.9994,8,Sunrise_Sunset
2,0.9554,8,Traffic_Signal
2,0.9285,8,hour_band
2,1,8,rush_hour
2,0.9983,8,weekend
3,0.9126,8,Crossing
3,0.9883,8,Stop
3,0.9309,8,Traffic_Signal
3,1,8,rush_hour
3,0.9089,8,weather_group
4,0.9772,8,Crossing
4,0.9145,8,Junction
4,0.9901,8,Stop
4,0.952,8,Sunrise_Sunset
4,0.9797,8,Traffic_Signal
4,1,8,rush_hour
5,0.9939,8,Crossing
5,1,8,Junction
5,0.9996,8,Stop
5,0.9882,8,Traffic_Signal
5,0.9451,8,rush_hour
6,0.9363,8,Crossing
6,0.9919,8,Stop
6,1,8,Sunrise_Sunset
6,0.9445,8,Traffic_Signal
6,1,8,weekend
7,0.9389,8,Crossing
7,0.9945,8,Stop
7,0.9448,8,Traffic_Signal
7,0.9153,8,rush_hour
7,0.9626,8,weekend
8,0.9563,8,Crossing
8,1,8,Junction
8,0.9896,8,Stop
8,0.9191,8,Sunrise_Sunset
8,0.9571,8,Traffic_Signal
8,1,8,rush_hour
8,0.9902,8,weather_group
8,0.9052,8,weekend
