B,R,J,k,repeat_id
1,0.732342538000768,0.167831673391767,6,1
2,0.726415958642338,0.163107409211399,6,1
3,0.726412430524565,0.164747702444945,6,1
4,0.725351230746243,0.158438093234319,6,1
5,0.72866527800032,0.163808832497587,6,1
6,0.73016477702192,0.172530423129985,6,1
7,0.733167305847925,0.17518562195375,6,1
8,0.7225,0.161740238592517,6,1
9,0.735003591917638,0.170927667773749,6,1
10,0.727452858921131,0.16142067153612,6,1
1,0.56181750442524,0.231988924596578,3,1
2,0.562107034129146,0.230953875073517,3,1
3,0.558362420051954,0.225499143610837,3,1
4,0.563565956053237,0.234954736157552,3,1
5,0.560846926444417,0.22859504867842,3,1
6,0.563203012337766,0.229847794611011,3,1
7,0.560980703499643,0.228209569292168,3,1
8,0.560397582721501,0.232978702505802,3,1
9,0.56133482504533,0.234207513368624,3,1
10,0.560248743620325,0.227835369068297,3,1
1,0.753921037762963,0.166661798018372,6,2
2,0.761003087912611,0.195664812321876,6,2
3,0.754095171706225,0.172048151119106,6,2
4,0.753102269042168,0.169681971885352,6,2
5,0.751734417441015,0.171620633372901,6,2
6,0.750605276586456,0.161781050672069,6,2
7,0.761484537734337,0.185052474830148,6,2
8,0.761305681329623,0.196975481234541,6,2
9,0.753652490513565,0.1706161895771,6,2
10,0.75357859413578,0.170072793276293,6,2
1,0.591584641137724,0.245615702958119,3,2
2,0.592777342994951,0.252438287555957,3,2
3,0.595129453262787,0.252659103457616,3,2
4,0.593857152196679,0.250133665089345,3,2
5,0.599441201305878,0.257368354329618,3,2
6,0.599604494221158,0.258636868209909,3,2
7,0.593360017876687,0.249375248395216,3,2
8,0.615513447487388,0.275271702094752,3,2
9,0.599157327014095,0.253386516643904,3,2
10,0.589793345085185,0.243465200675506,3,2
1,0.75617969748019,0.182221727763253,6,3
2,0.74788935612052,0.181310462502913,6,3
3,0.748064553614613,0.169246263942253,6,3
4,0.745094218221469,0.160016021499819,6,3
5,0.752539277877969,0.176163101640208,6,3
6,0.753595537127176,0.173966934055573,6,3
7,0.751906053205446,0.16978098231806,6,3
8,0.750827847683155,0.168868433011699,6,3
9,0.746088399530928,0.17814614980961,6,3
10,0.756080227192336,0.18112742497572,6,3
1,0.570931927502969,0.256005825895994,3,3
2,0.583447787303561,0.271081196178772,3,3
3,0.571632371393234,0.258449716239557,3,3
4,0.56612235308408,0.254479469754911,3,3
5,0.574306681278345,0.261380534962796,3,3
6,0.588652839962516,0.279140911890154,3,3
7,0.585012846897806,0.274525303358882,3,3
8,0.561968551109279,0.251516268932723,3,3
9,0.578729943744515,0.270118049861098,3,3
10,0.578211819360311,0.268720835184239,3,3
