eps,minPts,non_noise_clusters,noise_pct,max_cluster_size,max_cluster_share_pct,size_balance_ok,acceptable
0.3,40,79,20.17,6071,18.19,TRUE,FALSE
0.4,40,58,16.82,8353,25.03,TRUE,FALSE
0.5,40,50,14.41,12841,38.47,TRUE,FALSE
0.6,40,47,11.89,14149,42.39,TRUE,FALSE
0.7,40,45,10.33,14376,43.07,TRUE,FALSE
0.8,40,36,9.22,15020,45,TRUE,FALSE
0.9,40,29,7.68,26956,80.77,FALSE,FALSE
1,40,22,6.85,29033,86.99,FALSE,FALSE
1.1,40,17,6.1,29732,89.08,FALSE,FALSE
1.2,40,16,5.39,30130,90.28,FALSE,FALSE
1.3,40,15,4.57,30512,91.42,FALSE,FALSE
1.4,40,13,3.88,30916,92.63,FALSE,FALSE
1.5,40,10,3.57,31294,93.76,FALSE,FALSE
1.6,40,10,3.1,31687,94.94,FALSE,FALSE
1.7,40,10,2.76,31768,95.19,FALSE,FALSE
1.8,40,13,2.25,31843,95.41,FALSE,FALSE
1.9,40,13,2,31901,95.58,FALSE,FALSE
2,40,10,1.6,32042,96.01,FALSE,FALSE
0.3,50,75,23.35,5545,16.61,TRUE,FALSE
0.4,50,59,18.98,8337,24.98,TRUE,FALSE
0.5,50,40,16.82,9664,28.96,TRUE,FALSE
0.6,50,35,14.86,13754,41.21,TRUE,FALSE
0.7,50,30,13.39,14316,42.89,TRUE,FALSE
0.8,50,30,11.07,14970,44.85,TRUE,FALSE
0.9,50,23,9.77,15257,45.71,TRUE,FALSE
1,50,20,8.25,27280,81.74,FALSE,FALSE
1.1,50,20,6.97,29138,87.3,FALSE,FALSE
1.2,50,16,6.19,29715,89.03,FALSE,FALSE
1.3,50,13,5.48,30203,90.5,FALSE,FALSE
1.4,50,11,5.02,30530,91.48,FALSE,FALSE
1.5,50,8,4.32,31027,92.96,FALSE,FALSE
1.6,50,9,3.87,31126,93.26,FALSE,FALSE
1.7,50,8,3.36,31556,94.55,FALSE,FALSE
1.8,50,8,3.01,31787,95.24,FALSE,FALSE
1.9,50,8,2.67,31861,95.46,FALSE,FALSE
2,50,8,2.4,31915,95.63,FALSE,FALSE
0.3,75,68,29.56,3145,9.42,TRUE,FALSE
0.4,75,45,24.81,7339,21.99,TRUE,FALSE
0.5,75,39,20.89,7943,23.8,TRUE,FALSE
0.6,75,25,19.36,8652,25.92,TRUE,FALSE
0.7,75,23,16.75,13864,41.54,TRUE,FALSE
0.8,75,20,15.32,14496,43.43,TRUE,FALSE
0.9,75,15,14.25,14750,44.19,TRUE,TRUE
1,75,13,13.02,15074,45.17,TRUE,TRUE
1.1,75,13,11.45,26762,80.19,FALSE,FALSE
1.2,75,11,9.42,27644,82.83,FALSE,FALSE
1.3,75,11,8.2,29582,88.64,FALSE,FALSE
1.4,75,10,7,30020,89.95,FALSE,FALSE
1.5,75,8,6.44,30308,90.81,FALSE,FALSE
1.6,75,6,5.88,30753,92.14,FALSE,FALSE
1.7,75,4,5.28,31053,93.04,FALSE,FALSE
1.8,75,4,4.82,31185,93.44,FALSE,FALSE
1.9,75,4,4.5,31311,93.82,FALSE,FALSE
2,75,4,4.04,31662,94.87,FALSE,FALSE
0.3,100,63,34.66,2289,6.86,TRUE,FALSE
0.4,100,49,28.07,3642,10.91,TRUE,FALSE
0.5,100,38,24.36,7383,22.12,TRUE,FALSE
0.6,100,30,22.04,8419,25.23,TRUE,FALSE
0.7,100,24,19.73,9584,28.72,TRUE,FALSE
0.8,100,19,17.72,10522,31.53,TRUE,FALSE
0.9,100,14,16.58,14317,42.9,TRUE,TRUE
1,100,12,15.22,14792,44.32,TRUE,TRUE
1.1,100,8,13.65,26644,79.83,FALSE,FALSE
1.2,100,6,12.52,27131,81.29,FALSE,FALSE
1.3,100,5,11.77,27529,82.48,FALSE,FALSE
1.4,100,5,10.26,27940,83.72,FALSE,FALSE
1.5,100,5,9.07,29832,89.38,FALSE,FALSE
1.6,100,6,7.74,30093,90.17,FALSE,FALSE
1.7,100,7,6.48,30544,91.52,FALSE,FALSE
1.8,100,5,6.12,30727,92.07,FALSE,FALSE
1.9,100,4,5.26,31063,93.07,FALSE,FALSE
2,100,4,5.01,31150,93.33,FALSE,FALSE
